TOP,MIDDLE,JUNGLE,BOTTOM,UTILITY,OUTCOME,experience,goldspent,baron,champion_kills,dragon,inhibitor,riftHerald,tower,teamId
Jax,Qiyana,Nidalee,Ezreal,Karma,Win,33558,3950,0,20,0,0,0,6,100
KSante,AurelionSol,Khazix,Varus,Thresh,Lose,25586,29061,0,4,1,0,1,0,200
Jayce,Viktor,Elise,Xayah,Rakan,Win,74169,7825,2,38,2,4,2,11,100
Gnar,Kassadin,Neeko,Aphelios,Lulu,Lose,61640,69390,0,25,1,0,0,0,200
Fiora,Ahri,Skarner,Kaisa,Leona,Win,40324,39660,0,12,1,0,2,3,200
Jax,Vex,Maokai,Jinx,Thresh,Lose,35085,39510,0,9,1,0,0,1,100
Gangplank,Ahri,Zed,Aphelios,Taric,Win,63856,6550,1,31,1,1,0,7,100
Akali,Zoe,LeeSin,Jinx,Milio,Lose,48044,53419,0,18,2,0,2,2,200
Gragas,KSante,Lillia,Zeri,Annie,Win,87340,91583,1,42,3,2,1,9,200
Ryze,Sion,Belveth,Kaisa,Nautilus,Lose,83033,92283,1,31,2,0,1,4,100
KSante,Gragas,Belveth,Zeri,Anivia,Win,40911,5850,0,23,1,0,2,5,100
Fiora,Katarina,MonkeyKing,Kaisa,Maokai,Lose,36535,40235,0,15,1,0,0,2,200
Singed,Yone,Belveth,Vayne,Soraka,Win,70372,66026,1,33,2,1,0,10,200
Jayce,Ekko,Amumu,Ezreal,Blitzcrank,Lose,54501,66101,0,28,1,0,2,4,100
Camille,TwistedFate,Elise,Kaisa,Braum,Win,63328,58944,1,35,1,2,2,10,200
Shen,Ahri,LeeSin,Xayah,Thresh,Lose,52694,59044,0,21,1,0,0,0,100
Riven,Singed,Graves,Jinx,Karma,Win,34758,5275,0,20,0,1,2,7,100
Illaoi,Ryze,LeeSin,Ezreal,Pyke,Lose,33117,37917,0,15,2,0,0,3,200
Kennen,Qiyana,MonkeyKing,Jinx,Blitzcrank,Win,94218,14725,2,41,3,4,1,9,100
Kayle,Ahri,JarvanIV,Kaisa,Blitzcrank,Lose,90010,108985,0,39,2,1,0,6,200
Fiora,Varus,Rengar,Zeri,Yuumi,Win,45751,46535,0,26,1,1,2,7,200
Swain,Irelia,Hecarim,Ezreal,Lulu,Lose,39960,44460,0,10,1,0,0,1,100
Malphite,Pantheon,Sylas,Jinx,Rakan,Win,56775,50804,1,25,2,1,1,8,200
Poppy,Syndra,Vi,Aphelios,Nautilus,Lose,44704,49229,0,10,1,0,1,1,100
Jax,Pantheon,Elise,Jinx,Braum,Win,47751,5350,1,26,3,1,1,5,100
DrMundo,Cassiopeia,Kindred,Twitch,Thresh,Lose,36222,41222,0,11,0,0,1,0,200
Jax,Pantheon,Elise,Jinx,Galio,Win,90305,91407,0,54,0,1,0,4,200
